shoeID,shoeName,shoeNickname,shoeSlogan,originalReleaseDate,originalReleaseYear,originalColor,designer,originalPrice,notes,jordanLink
jordan1,Air Jordan I,,,April 1985,1985,Black/Red,Peter Moore,65,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-1
jordan2,Air Jordan II,,,November 1986,1986,White/Red,Peter Moore & Bruce Kilgore,100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-2
jordan3,Air Jordan III,,,January 1988,1988,White/Cement Grey,Tinker Hatfield,100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-3
jordan4,Air Jordan IV,,,February 1989,1989,Black/Cement Grey,Tinker Hatfield,110,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-4
jordan5,Air Jordan V,,,February 1990,1990,Black/Metallic Silver,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-5
jordan6,Air Jordan VI,,,1991,1991,Black/Infrared,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-6
jordan7,Air Jordan VII,,,1992,1992,White/Light Silver – Red,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-7
jordan8,Air Jordan VIII,,,1993,1993,Black/Bright Concord – Aqua Tone,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-8
jordan9,Air Jordan IX,,,1993,1993,White/Black – True Red,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-9
jordan10,Air Jordan X,,,1994-1995,1994-1995,White/Black – Light Steel Grey,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-10
jordan11,Air Jordan XI,,,1995,1995,White/Black – Dark Concord,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-11
jordan12,Air Jordan XII,,,November 1996,1996,White/Black – Taxi,Tinker Hatfield,135,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-12
jordan13,Air Jordan XIII,,,November 1997,1997,Black/Varsity Red,Tinker Hatfield,150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-13
jordan14,Air Jordan XIV,,,October 1998,,White/Black – Varsity Red,Tinker Hatfield,150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-14
jordan15,Air Jordan XV,,,December 1999,1999,Flint Grey/White,Tinker Hatfield,150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-15
jordan16,Air Jordan XVI,,,February 2001,2001,Black/Varsity Red,Wilson Smith III,160,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-16
jordan17,Air Jordan XVII,,,February 2002,2002,White/Red,Wilson Smith III,200,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-17
jordan18,Air Jordan XVIII,,,February 2003,2003,Black/Blue,Wilson Smith III,175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-18
jordan19,Air Jordan XIX,,,March 2004,2004,White/Red,Tate Kuebis,165,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-19
jordan20,Air Jordan XX,,,February 2005,2005,White/Black – Red,Tinker Hatfield & Mark Smith,175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-20
jordan21,Air Jordan XXI,,,January 2006,2006,White/Black – Red,D'Wayne Edwards,175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-21
jordan22,Air Jordan XX2,,,January 2007,2007,White/Black – Red,D'Wayne Edwards,175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-22
jordan23,Air Jordan XX3,,,February 2008,2008,Black/Red,Tinker Hatfield & Mark Smith,185,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-23
jordan24,Air Jordan 2009,,,January 2009,2009,White/Black,Jason Mayden,190,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-24
jordan25,Air Jordan 2010,,,February 2010,2010,Black/Varsity Red – White,Tinker Hatfield,170,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-25
jordan26,Air Jordan 2011,,,February 2011,2011,Black/White,Tinker Hatfield & Tom Luedecke,170,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-26
jordan27,Air Jordan 2012,,,February 2012,2012,Black/White,Tinker Hatfield,180,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-27
jordan28,Air Jordan XX8,,,February 2013,2013,Gym Red/White,Tinker Hatfield & Josh Heard,250,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-28
jordan29,Air Jordan XX9,,,September 2014,2014,Black/White – Red,Tinker Hatfield,225,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-29
jordan30,Air Jordan XXX,,,February 2016,2016,White/Blue,Tinker Hatfield & Mark Smith,185,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-30
jordan31,Air Jordan XXXI,,,August 2016,2016,Black/Red,Tate Kuebis,185,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-31
jordan32,Air Jordan XXXII,,,October 2017,2017,Black/Red,Tate Kuebis,185,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-32